DATE,M_IN,D_EN,E_EN,H_EN,Ab_EN
2022-02-08,34.45,21.63,159.95,135.0,96.2
2022-02-09,34.2,21.52,168.6,135.05,95.3
2022-02-10,35.5,24.55,168.05,136.45,94.4
2022-02-11,34.65,25.0,166.5,137.15,93.77
2022-02-14,33.5,22.67,161.65,132.5,91.7
2022-02-15,33.75,23.59,163.65,135.35,92.83
2022-02-16,33.9,25.35,163.85,133.2,92.9
2022-02-17,33.15,26.4,163.05,132.75,93.2
2022-02-18,33.05,26.32,167.3,132.35,93.9
2022-02-21,32.35,24.03,161.2,131.95,90.87
2022-02-22,31.2,24.11,159.9,132.1,89.7
2022-02-23,31.7,25.11,158.5,130.2,92.17
2022-02-24,29.2,22.23,150.0,124.4,86.5
2022-02-25,31.0,24.81,163.45,130.35,89.87
2022-02-28,30.95,24.75,169.55,133.5,96.57
2022-03-02,31.05,24.62,184.8,130.95,101.7
2022-03-03,31.1,24.54,188.95,132.1,106.0
2022-03-04,30.7,23.95,181.0,130.2,103.63
2022-03-07,29.95,23.29,188.7,130.05,107.77
2022-03-08,30.7,23.74,189.15,133.75,104.93
2022-03-09,32.0,24.26,186.65,131.5,103.0
2022-03-10,32.6,24.5,178.95,132.95,98.33
2022-03-11,32.75,24.36,181.75,131.95,101.6
2022-03-14,32.6,24.43,180.35,132.15,101.57
2022-03-15,32.8,24.46,172.9,131.05,98.97
2022-03-16,33.15,24.58,176.9,132.75,101.6
2022-03-17,34.55,25.02,176.55,132.9,100.87
2022-03-21,35.8,24.91,182.3,132.9,96.2
2022-03-22,35.8,24.75,183.35,132.85,95.63
2022-03-23,36.15,26.04,183.05,133.45,95.73
2022-03-24,34.9,26.43,187.4,135.4,98.07
2022-03-25,34.1,28.64,186.1,134.75,98.43
2022-03-28,33.15,30.45,191.25,134.8,101.4
2022-03-29,33.25,34.71,186.0,134.35,101.77
2022-03-30,32.6,34.3,182.9,135.3,102.3
2022-03-31,32.7,37.02,183.05,135.0,103.77
2022-04-01,33.4,40.69,186.15,142.95,108.03
2022-04-04,33.8,42.39,187.75,144.3,107.8
2022-04-05,34.55,46.62,187.9,149.1,107.17
2022-04-06,34.25,48.95,193.85,153.0,108.23
2022-04-07,34.1,46.51,190.75,153.5,107.13
2022-04-08,34.6,44.19,194.55,152.05,108.1
2022-04-11,34.7,46.32,196.4,153.1,109.73
2022-04-12,34.7,46.16,186.0,152.6,111.13
2022-04-13,34.85,44.65,186.6,153.95,112.43
2022-04-18,34.35,46.88,189.45,163.2,111.97
2022-04-19,34.65,46.49,197.75,160.65,113.33
2022-04-20,35.4,47.01,199.1,160.5,110.4
2022-04-21,35.95,49.36,206.9,162.7,109.33
2022-04-22,35.8,51.82,202.15,160.45,109.47
2022-04-25,34.8,54.41,188.45,156.1,105.23
2022-04-26,34.75,57.13,191.4,157.0,104.7
2022-04-27,34.1,59.84,187.5,155.65,103.77
2022-04-28,33.95,56.85,190.25,159.7,105.2
2022-04-29,33.65,56.07,182.85,156.2,106.1
2022-05-02,33.55,56.07,187.65,157.5,105.03
2022-05-04,33.0,53.27,187.35,158.65,105.03
2022-05-05,32.85,55.63,185.85,158.4,107.57
2022-05-06,32.4,58.41,187.4,159.0,106.8
2022-05-09,32.15,56.32,183.05,159.0,104.07
2022-05-10,32.1,53.51,170.05,155.45,99.27
2022-05-11,31.15,51.06,169.85,152.55,100.43
2022-05-12,30.45,48.51,167.05,148.55,100.2
2022-05-13,31.0,50.93,168.7,144.15,98.53
2022-05-16,31.25,53.47,171.7,148.25,100.47
2022-05-17,32.15,56.14,184.55,150.5,102.8
2022-05-18,32.15,58.94,185.55,148.5,102.43
2022-05-19,31.4,59.48,181.2,148.0,102.5
2022-05-20,31.85,62.45,185.95,149.6,104.2
2022-05-23,31.6,65.57,184.3,150.15,102.13
2022-05-24,31.4,62.3,182.35,146.9,101.33
2022-05-25,30.9,59.87,180.7,152.65,101.4
2022-05-26,31.1,62.86,183.25,154.15,100.8
2022-05-27,31.55,65.62,181.85,150.45,95.2
2022-05-30,32.35,68.05,187.2,150.9,95.83
2022-05-31,32.4,64.65,192.9,156.0,98.13
2022-06-01,33.4,61.42,196.05,156.8,99.33
2022-06-02,33.25,59.07,198.2,159.05,99.43
2022-06-03,32.6,56.82,197.0,155.0,98.4
2022-06-06,32.3,59.66,194.85,155.2,98.77
2022-06-07,32.25,58.28,197.55,157.25,100.67
2022-06-08,31.9,56.9,197.65,157.05,101.63
2022-06-09,31.75,57.55,198.75,155.15,101.03
2022-06-10,32.0,56.02,198.5,155.25,99.4
2022-06-13,30.55,53.24,191.05,148.9,97.53
2022-06-14,30.85,53.33,192.2,151.4,97.97
2022-06-15,30.65,54.41,190.05,148.15,98.37
2022-06-16,30.1,51.86,179.9,142.95,93.67
2022-06-17,30.2,52.26,182.65,140.45,92.63
2022-06-20,29.25,49.65,176.85,137.25,87.43
2022-06-21,30.05,50.81,184.8,139.95,90.9
2022-06-22,30.1,49.46,179.35,137.65,89.07
2022-06-23,30.1,50.52,177.15,136.5,87.8
2022-06-24,30.2,52.89,176.55,136.6,88.3
2022-06-27,30.45,54.58,182.05,138.5,89.77
2022-06-28,30.4,54.05,186.4,138.6,91.27
2022-06-29,30.1,54.01,188.75,141.75,92.83
2022-06-30,30.0,52.57,185.6,142.9,90.13
2022-07-01,30.0,52.65,183.25,140.65,88.23
2022-07-04,30.25,52.34,182.05,141.4,89.03
2022-07-05,30.25,52.55,182.45,140.85,89.2
2022-07-06,30.4,52.54,181.7,138.95,89.03
2022-07-07,30.6,55.12,186.0,140.45,91.2
2022-07-08,30.9,54.31,189.8,143.7,91.5
2022-07-11,31.0,57.02,193.35,144.8,92.4
2022-07-12,31.55,58.55,193.9,147.1,92.67
2022-07-13,30.95,57.33,193.45,148.6,91.67
2022-07-14,30.7,56.74,192.0,148.3,92.87
2022-07-15,30.5,57.35,193.4,149.75,93.63
2022-07-18,30.95,57.97,195.6,149.8,96.07
2022-07-19,30.9,58.67,198.25,150.75,93.5
2022-07-20,30.65,57.98,197.85,150.55,94.37
2022-07-21,30.9,58.8,198.6,150.85,95.93
2022-07-22,30.95,58.26,197.1,148.95,94.4
2022-07-25,30.85,58.34,200.9,150.1,98.0
2022-07-26,30.8,59.54,202.3,150.0,95.97
2022-07-27,31.0,62.49,203.45,149.7,97.83
2022-07-28,30.95,64.39,202.85,150.35,97.3
2022-07-29,30.95,62.79,211.25,152.95,97.73
2022-08-01,31.1,64.37,212.75,156.5,98.2
2022-08-02,31.0,65.71,215.25,159.55,94.33
2022-08-03,31.0,67.92,212.1,159.65,93.87
2022-08-04,30.95,69.45,207.15,154.7,93.4
2022-08-05,30.95,66.41,208.45,155.6,88.6
2022-08-08,31.1,65.72,215.4,159.4,88.9
2022-08-10,31.2,67.95,219.85,155.75,87.2
2022-08-11,31.0,68.48,218.6,153.65,85.77
2022-08-12,30.95,69.03,221.65,158.5,87.67
2022-08-16,31.0,72.47,222.9,158.75,90.07
2022-08-17,31.2,76.09,221.45,161.45,89.97
2022-08-18,31.2,79.89,221.75,160.8,90.4
2022-08-19,31.15,82.39,217.15,157.75,88.77
2022-08-22,30.9,86.5,218.3,156.5,86.23
2022-08-23,30.7,82.18,222.85,158.65,88.2
2022-08-24,30.75,78.08,223.65,160.8,88.07
2022-08-25,31.55,78.7,224.9,158.9,88.43
2022-08-26,32.3,75.1,229.95,163.4,89.7
2022-08-29,32.85,78.85,230.6,160.95,89.3
2022-08-30,32.9,82.79,234.8,164.0,90.73
2022-09-01,32.95,81.7,230.3,160.7,90.9
2022-09-02,32.8,80.25,229.3,161.8,90.2
2022-09-05,32.95,77.97,231.6,164.5,91.17
2022-09-06,32.9,81.55,232.7,168.45,93.05
2022-09-07,33.15,81.26,238.85,167.3,92.8
2022-09-08,33.6,80.38,236.45,166.8,92.55
2022-09-09,33.85,79.4,237.6,166.6,92.4
2022-09-12,34.0,79.52,231.5,166.4,92.75
2022-09-13,34.5,78.72,231.3,167.4,92.3
2022-09-14,34.15,76.91,231.95,172.35,91.7
2022-09-15,33.95,79.84,234.25,175.1,91.2
2022-09-16,33.8,77.55,231.05,172.8,91.9
2022-09-19,34.2,78.37,229.9,171.0,90.0
2022-09-20,34.55,79.65,229.85,171.9,90.9
2022-09-21,34.85,78.1,231.55,168.6,89.0
2022-09-22,36.05,79.25,227.05,168.65,88.25
2022-09-23,35.2,77.12,222.85,163.95,86.0
2022-09-26,33.65,73.3,215.5,158.6,84.85
2022-09-27,33.6,74.51,213.9,159.0,86.25
2022-09-28,33.2,73.55,210.8,157.95,85.7
2022-09-29,32.95,73.89,213.9,159.55,85.9
2022-09-30,33.7,74.7,212.25,159.65,87.05
2022-10-03,35.9,70.97,214.95,160.35,85.15
2022-10-04,35.85,70.5,223.25,162.55,87.25
2022-10-06,36.3,74.02,233.5,162.9,87.55
2022-10-07,36.0,74.57,229.7,164.3,86.85
2022-10-10,38.5,73.07,229.85,163.95,89.2
2022-10-11,36.85,71.37,225.45,161.05,86.2
2022-10-12,37.0,71.36,232.1,165.0,86.35
2022-10-13,36.8,69.37,234.55,164.75,85.45
2022-10-14,36.8,66.25,236.35,165.1,85.1
2022-10-17,37.8,68.13,238.0,168.45,85.05
2022-10-18,37.85,69.12,241.7,166.95,85.0
2022-10-19,37.05,66.72,238.2,164.05,84.8
2022-10-20,35.75,67.69,241.0,166.95,87.45
2022-10-21,36.1,66.44,238.7,165.05,86.45
2022-10-24,37.15,67.11,240.5,166.95,86.8
2022-10-25,39.45,66.47,239.95,169.35,86.55
2022-10-27,41.25,67.48,240.9,170.65,88.05
2022-10-28,40.65,66.66,244.4,174.05,90.05
2022-10-31,40.0,66.98,245.95,173.1,91.3
2022-11-01,40.2,69.78,245.65,181.8,91.4
2022-11-02,39.95,68.63,245.8,180.95,91.3
2022-11-03,42.65,67.35,246.2,178.15,90.55
2022-11-04,46.05,69.37,246.05,176.95,88.55
2022-11-07,50.8,69.72,249.55,175.85,90.55
2022-11-09,52.0,73.16,255.8,173.4,88.6
2022-11-10,49.1,74.28,253.6,172.1,88.2
2022-11-11,51.15,72.04,253.25,171.45,88.85
2022-11-14,54.55,71.96,247.2,171.45,88.1
2022-11-15,60.65,71.41,232.15,172.1,89.9
2022-11-16,63.75,69.03,234.9,169.95,90.5
2022-11-17,61.05,67.2,232.4,168.3,90.15
2022-11-18,63.2,67.3,229.55,165.85,90.3
2022-11-21,61.8,66.24,229.45,164.4,89.65
2022-11-22,58.0,65.7,229.1,167.05,91.1
2022-11-23,63.8,65.19,230.6,168.05,90.8
2022-11-24,67.15,64.99,228.5,169.5,92.1
2022-11-25,73.3,64.79,231.4,169.75,93.25
2022-11-28,80.1,65.65,229.85,170.4,92.75
2022-11-29,77.95,64.94,227.2,170.15,94.15
2022-11-30,74.1,66.55,227.25,172.2,94.75
2022-12-01,75.05,66.08,226.1,172.2,93.65
2022-12-02,75.15,65.06,226.6,172.15,93.2
2022-12-05,71.4,64.61,231.25,175.15,93.15
2022-12-06,72.0,64.96,231.65,175.2,93.0
2022-12-07,70.45,64.89,229.75,171.85,93.25
2022-12-08,70.65,64.75,230.4,170.35,92.55
2022-12-09,67.35,63.21,228.85,169.5,90.85
2022-12-12,70.7,62.04,232.4,168.9,92.8
2022-12-13,72.55,64.6,231.55,169.2,93.25
2022-12-14,74.0,63.87,232.15,171.6,96.0
2022-12-15,72.8,63.09,228.2,172.1,97.35
2022-12-16,70.15,61.58,224.65,169.8,96.75
2022-12-19,70.05,61.16,227.3,171.8,97.4
2022-12-20,73.55,61.15,226.1,169.75,97.9
2022-12-21,69.9,58.1,223.85,167.95,95.1
2022-12-22,66.45,55.2,222.7,165.9,94.15
2022-12-23,63.15,52.44,215.05,163.0,91.55
2022-12-26,63.7,55.06,220.75,165.65,94.4
2022-12-27,63.55,57.81,221.25,165.2,95.0
2022-12-28,66.7,60.7,223.2,165.85,95.8
2022-12-29,68.55,60.9,221.65,166.75,95.95
2022-12-30,68.25,59.91,225.05,166.45,96.05
2023-01-02,68.55,59.63,224.75,168.0,96.6
2023-01-03,71.95,58.95,224.1,167.6,96.8
2023-01-04,73.4,57.32,217.15,166.6,95.4
2023-01-05,72.05,57.75,218.15,169.9,97.35
2023-01-06,72.45,56.68,214.25,169.0,97.25
2023-01-09,72.15,57.54,214.95,170.4,98.45
2023-01-10,70.35,55.84,216.75,167.95,98.1
2023-01-11,72.2,55.24,213.4,166.05,97.3
2023-01-12,75.8,54.73,213.9,165.95,96.8
2023-01-13,79.55,55.74,215.1,167.8,96.1
2023-01-16,76.8,54.59,213.75,165.95,96.9
2023-01-17,74.45,56.39,213.1,167.7,97.45
2023-01-18,78.15,55.74,216.85,169.45,97.25
2023-01-19,77.2,55.51,223.95,168.7,97.6
2023-01-20,76.75,55.01,227.0,168.7,99.0
2023-01-23,76.15,54.64,230.1,166.85,102.25
2023-01-24,75.45,54.93,227.6,166.05,102.0
2023-01-25,75.7,52.2,226.15,165.9,100.9
2023-01-27,72.9,49.59,222.4,166.3,99.15
2023-01-30,72.5,47.11,225.85,168.85,94.95
2023-01-31,76.1,44.76,224.85,171.15,95.15
2023-02-01,72.65,42.53,220.65,170.0,96.05
2023-02-02,73.8,40.41,217.65,166.9,93.9
2023-02-03,72.3,38.39,218.9,165.55,92.8
2023-02-06,71.35,36.47,219.6,166.05,94.85
2023-02-07,71.85,34.65,219.7,165.25,96.0
2023-02-08,73.55,36.38,215.5,165.5,95.8
2023-02-09,72.5,34.56,214.55,166.0,95.85
2023-02-10,71.6,32.84,211.5,165.0,95.85
2023-02-13,69.25,31.2,213.05,167.85,95.75
2023-02-14,69.85,29.64,211.75,166.05,95.4
2023-02-15,70.75,28.16,212.9,165.8,95.3
2023-02-16,70.3,29.56,215.45,167.4,95.95
2023-02-17,68.45,31.03,217.5,168.05,96.0
2023-02-20,66.35,32.58,218.3,167.9,95.7
2023-02-21,64.95,34.2,214.05,173.25,95.3
2023-02-22,62.3,32.49,211.85,170.5,95.55
2023-02-23,65.05,30.87,214.9,169.6,98.05
2023-02-24,63.1,29.33,217.05,171.0,103.45
2023-02-27,61.25,27.87,216.95,172.4,104.15
2023-02-28,57.45,29.26,215.4,170.5,102.65
2023-03-01,58.5,30.72,218.75,172.25,103.4
2023-03-02,65.65,32.25,222.85,170.8,103.05
2023-03-03,65.8,33.86,222.95,172.6,105.25
2023-03-06,65.4,35.55,224.9,176.8,109.05
2023-03-08,64.0,37.32,224.85,178.85,111.25
2023-03-09,66.2,39.18,224.8,179.45,108.65
2023-03-10,66.6,40.98,224.35,180.75,111.05
2023-03-13,63.95,43.02,220.8,179.7,110.2
2023-03-14,63.3,40.87,221.05,177.9,110.0
2023-03-15,62.65,40.36,219.9,178.2,109.05
2023-03-16,62.0,39.74,220.85,179.6,109.55
2023-03-17,62.95,39.99,221.65,176.95,110.15
2023-03-20,64.6,38.04,217.05,176.0,109.8
2023-03-21,64.15,39.94,217.05,177.1,105.1
2023-03-22,65.6,40.81,213.95,174.35,105.4
2023-03-23,64.7,40.28,213.35,174.6,105.1
2023-03-24,64.75,38.52,208.45,172.7,103.5
2023-03-27,66.5,36.6,208.4,171.25,103.9
2023-03-28,66.2,34.77,208.9,172.0,104.15
2023-03-29,67.05,36.5,212.95,174.0,105.5
2023-03-31,68.6,38.32,213.65,175.1,105.15
2023-04-03,75.35,38.11,220.15,177.8,105.45
2023-04-05,75.2,38.02,222.5,175.9,105.4
2023-04-06,73.9,38.44,221.7,175.2,105.45
2023-04-10,74.3,38.8,222.05,177.6,105.95
2023-04-11,73.5,38.8,223.65,178.1,106.05
2023-04-12,72.75,38.49,227.7,175.8,108.6
2023-04-13,73.55,37.83,225.5,173.05,108.15
2023-04-17,73.1,37.89,229.6,169.6,110.1
2023-04-18,75.0,37.67,232.2,170.1,109.5
2023-04-19,74.45,37.46,230.4,167.1,108.25
2023-04-20,77.1,39.16,229.55,169.7,108.7
2023-04-21,77.5,39.85,230.05,169.7,108.35
2023-04-24,87.75,40.28,231.55,170.95,109.3
2023-04-25,104.6,41.13,230.25,171.1,109.2
2023-04-26,104.75,42.27,229.75,169.85,110.2
2023-04-27,103.2,42.83,231.75,170.95,109.3
2023-04-28,107.55,44.97,233.1,172.0,107.3
2023-05-02,118.3,47.19,236.1,175.6,108.3
2023-05-03,130.1,46.33,236.9,176.35,108.0
2023-05-04,129.3,47.63,237.45,176.35,107.15
2023-05-05,141.65,47.97,237.4,174.25,107.65
2023-05-08,135.0,47.74,232.85,177.05,107.45
2023-05-09,128.25,48.06,236.35,176.0,106.95
2023-05-10,121.85,47.64,236.55,177.05,109.0
2023-05-11,126.7,48.53,236.15,179.55,109.35
2023-05-12,120.4,48.17,235.05,174.95,108.05
2023-05-15,120.7,47.17,237.7,175.95,111.75
2023-05-16,118.75,47.24,240.95,177.45,111.7
2023-05-17,121.85,46.87,241.6,176.0,110.0
2023-05-18,120.85,45.01,239.6,175.1,106.2
2023-05-19,116.2,47.22,239.9,173.3,104.85
2023-05-22,115.9,49.58,238.7,174.1,106.35
2023-05-23,113.0,52.05,239.3,174.15,107.5
2023-05-24,115.0,51.21,241.0,174.95,107.7
2023-05-25,114.85,51.83,240.05,174.5,107.8
2023-05-26,115.85,51.61,241.5,174.5,106.35
2023-05-29,121.6,51.28,246.1,176.3,106.25
2023-05-30,115.55,50.22,244.3,176.8,105.95
2023-05-31,120.0,49.93,241.25,173.85,104.8
2023-06-01,118.45,50.83,230.35,174.4,105.35
2023-06-02,117.95,51.13,230.9,174.55,104.6
2023-06-05,116.95,51.89,229.7,174.1,104.45
2023-06-06,119.85,52.6,227.8,175.4,104.7
2023-06-07,127.1,54.97,230.7,177.35,105.6
2023-06-08,125.35,55.83,228.1,182.05,104.75
2023-06-09,125.25,55.24,227.65,182.8,104.9
2023-06-12,123.8,54.31,229.0,185.7,105.2
2023-06-13,121.95,53.56,228.95,185.35,107.05
2023-06-14,123.7,53.05,228.95,187.2,107.2
2023-06-15,122.9,53.85,228.6,186.7,107.15
2023-06-16,122.85,53.22,228.55,188.2,107.5
2023-06-19,124.45,52.73,227.15,185.85,108.0
2023-06-20,122.7,52.34,227.25,187.5,108.25
2023-06-21,123.8,52.13,228.45,187.5,106.7
2023-06-22,123.45,51.32,226.95,184.5,104.45
2023-06-23,121.15,48.48,225.9,186.7,105.05
2023-06-26,123.3,50.12,224.3,184.9,104.8
2023-06-27,123.9,50.62,225.15,186.05,104.3
2023-06-28,123.0,50.93,227.25,189.1,103.8
2023-06-30,121.9,49.97,231.0,189.15,105.05
2023-07-03,121.85,49.69,231.65,191.25,106.45
2023-07-04,121.95,49.42,231.8,194.05,106.55
2023-07-05,124.1,49.13,231.4,193.4,107.4
2023-07-06,122.85,49.29,234.6,196.75,110.8
2023-07-07,121.9,48.75,234.0,192.6,110.7
2023-07-10,122.25,48.41,233.75,191.55,108.95
2023-07-11,120.95,48.84,234.0,192.4,109.3
2023-07-12,120.7,48.17,234.4,190.8,110.6
2023-07-13,118.65,47.44,229.9,187.9,108.1
2023-07-14,119.5,48.38,231.05,187.45,110.0
2023-07-17,119.65,49.14,230.2,186.5,108.6
2023-07-18,119.65,49.31,228.25,187.35,108.9
2023-07-19,119.9,49.14,228.6,192.55,109.5
2023-07-20,128.7,48.83,229.75,192.9,110.45
2023-07-21,136.65,48.35,229.0,195.1,111.5
2023-07-24,135.75,47.6,230.95,195.9,112.05
2023-07-25,129.55,52.03,229.95,200.65,116.4
2023-07-26,134.25,51.1,230.5,201.6,116.05
2023-07-27,126.0,50.6,229.05,201.95,116.6
2023-07-28,120.95,51.71,227.1,210.0,117.5
2023-07-31,124.1,54.66,229.25,218.35,119.1
2023-08-01,125.1,54.64,240.35,225.15,120.35
2023-08-02,123.55,53.54,234.55,219.1,116.35
2023-08-03,123.3,54.97,230.05,220.1,115.55
2023-08-04,122.65,55.7,233.75,217.95,115.3
2023-08-07,125.15,54.66,232.95,217.95,114.25
2023-08-08,123.9,56.05,230.25,217.55,116.4
2023-08-09,127.15,55.43,234.75,218.7,117.9
2023-08-10,126.6,56.38,234.9,217.4,117.6
2023-08-11,126.1,57.62,234.9,213.0,115.7
2023-08-14,125.25,57.22,233.9,213.0,112.85
2023-08-16,124.65,55.98,233.05,217.45,114.15
2023-08-17,124.85,57.31,232.3,215.75,113.35
2023-08-18,122.85,60.92,227.45,215.15,112.6
2023-08-21,124.5,64.97,230.1,218.8,114.4
2023-08-22,124.55,69.48,230.75,221.7,117.05
2023-08-23,124.6,64.57,230.9,221.7,117.75
2023-08-24,124.85,65.76,229.25,220.85,118.0
2023-08-25,123.9,65.01,227.7,217.9,116.5
2023-08-28,126.85,64.36,229.45,218.7,117.35
2023-08-29,127.75,66.54,229.95,221.1,117.2
2023-08-30,128.5,65.68,228.75,220.4,116.1
2023-08-31,131.05,64.26,230.05,220.3,115.0
2023-09-01,138.3,66.05,236.9,230.7,121.35
2023-09-04,154.4,68.35,247.8,235.8,122.7
2023-09-05,156.75,68.49,255.35,234.6,123.4
2023-09-06,149.85,69.51,255.8,231.9,124.6
2023-09-07,153.9,71.76,274.0,234.1,126.05
2023-09-08,162.85,73.83,282.1,240.25,128.05
2023-09-11,189.5,79.68,278.95,243.1,128.5
2023-09-12,169.85,77.26,270.75,235.1,122.25
2023-09-13,166.7,75.42,279.65,237.15,124.25
2023-09-14,170.95,75.43,277.55,237.95,125.9
2023-09-15,170.15,75.88,279.3,236.2,123.85
2023-09-18,165.35,75.0,281.25,241.2,123.5
2023-09-20,163.45,73.68,284.3,241.75,123.55
2023-09-21,158.8,76.49,280.45,238.95,121.2
2023-09-22,166.85,76.78,283.35,237.95,121.65
2023-09-25,169.8,76.23,288.05,239.65,122.4
2023-09-26,166.7,75.5,286.75,240.2,121.55
2023-09-27,168.5,75.07,291.55,239.3,121.2
2023-09-28,166.1,75.08,290.2,237.05,121.45
2023-09-29,169.45,75.49,295.2,245.55,124.4
2023-10-03,172.5,73.34,291.9,241.2,124.0
2023-10-04,171.15,74.41,287.95,235.15,121.35
2023-10-05,170.2,73.17,289.35,233.85,123.0
2023-10-06,170.05,72.86,287.8,235.55,124.6
2023-10-09,161.25,68.4,287.8,234.7,121.8
2023-10-10,165.35,69.93,303.25,235.9,122.9
2023-10-11,165.2,69.96,301.85,238.7,123.55
2023-10-12,164.9,69.45,307.2,241.6,129.35
2023-10-13,168.0,68.38,307.95,242.05,128.25
2023-10-16,165.95,65.93,312.0,243.45,129.95
2023-10-17,170.35,67.1,317.4,245.95,131.4
2023-10-18,167.0,66.79,316.95,242.0,131.0
2023-10-19,166.75,68.89,314.8,239.5,129.3
2023-10-20,168.25,67.66,312.4,241.0,125.05
2023-10-23,157.75,63.29,306.1,236.55,120.8
2023-10-25,151.15,62.54,310.3,232.05,119.7
2023-10-26,151.5,65.47,305.25,231.65,118.5
2023-10-27,157.7,70.83,313.95,236.6,118.25
2023-10-30,156.35,71.59,314.55,234.6,118.7
2023-10-31,154.15,72.61,314.25,235.8,119.5
2023-11-01,153.0,73.04,306.65,232.6,117.6
2023-11-02,154.05,74.59,308.85,235.25,122.05
2023-11-03,154.0,76.93,312.0,234.35,123.75
2023-11-06,154.5,78.8,316.55,235.85,123.4
2023-11-07,156.15,76.76,314.25,239.15,125.05
2023-11-08,162.05,78.68,317.4,236.7,124.65
2023-11-09,160.7,80.22,323.55,237.95,124.15
2023-11-10,156.2,79.88,323.4,242.75,125.6
2023-11-12,158.45,79.97,331.8,244.55,126.4
2023-11-13,156.9,78.12,349.35,245.7,126.05
2023-11-15,160.55,78.2,350.6,247.3,126.85
2023-11-16,158.45,77.91,345.8,252.35,126.4
2023-11-17,166.85,77.46,345.25,251.6,126.25
2023-11-20,164.7,77.99,347.75,251.05,124.55
2023-11-21,166.9,78.5,334.2,250.0,124.95
2023-11-22,165.8,77.44,332.15,253.65,123.8
2023-11-23,166.8,76.34,334.45,252.75,124.95
2023-11-24,167.0,79.44,332.8,253.9,124.5
2023-11-28,166.1,89.24,341.95,257.55,125.3
2023-11-29,165.35,86.62,342.35,258.4,125.9
2023-11-30,164.2,86.3,342.15,261.3,131.9
2023-12-01,165.0,88.08,346.65,268.95,136.05
2023-12-04,172.4,92.94,354.7,274.8,141.9
2023-12-05,170.0,107.63,355.55,285.45,140.35
2023-12-06,170.85,112.09,352.15,281.1,140.6
2023-12-07,170.1,112.48,351.95,283.8,142.05
2023-12-08,171.15,106.76,351.0,285.05,140.35
2023-12-11,178.35,105.23,353.65,287.3,141.05
2023-12-12,177.95,103.39,347.5,283.4,138.75
2023-12-13,176.95,101.14,345.2,294.05,141.05
2023-12-14,181.75,105.79,347.6,295.4,145.55
2023-12-15,183.15,107.77,350.0,305.1,145.85
2023-12-18,182.6,107.87,347.65,303.2,145.05
2023-12-19,183.85,107.09,366.95,309.65,144.4
2023-12-20,172.1,101.76,352.15,297.65,137.75
2023-12-21,177.4,102.33,355.5,301.95,140.7
2023-12-22,176.9,102.51,363.25,302.8,151.5
2023-12-26,178.65,102.34,366.05,309.6,154.0
2023-12-27,177.8,104.49,365.6,306.05,151.85
2023-12-28,177.4,104.68,380.95,313.9,157.1
2023-12-29,181.55,105.03,376.0,311.15,162.1
2024-01-01,182.0,104.65,381.8,309.75,166.2
2024-01-02,180.8,103.72,392.65,306.0,164.05
2024-01-03,185.3,108.9,384.55,306.2,162.15
2024-01-04,185.5,111.71,384.75,317.1,163.15
2024-01-05,184.65,110.22,384.25,314.95,163.65
2024-01-08,182.1,108.34,380.4,316.45,160.7
2024-01-09,185.3,107.95,385.35,319.75,161.05
2024-01-10,197.4,108.46,382.05,313.35,160.0
2024-01-11,199.8,108.03,384.35,312.9,159.05
2024-01-12,203.25,108.23,381.1,312.65,162.4
2024-01-15,220.65,108.23,384.65,317.3,165.2
2024-01-16,223.55,106.46,381.9,311.5,166.9
2024-01-17,240.4,104.29,379.65,309.3,164.1
2024-01-18,243.6,104.71,375.65,299.3,163.55
2024-01-19,291.25,103.35,383.25,308.45,168.3
2024-01-20,320.35,107.31,398.8,308.2,166.45
2024-01-23,288.75,103.51,375.3,302.6,157.2
2024-01-24,298.85,103.99,382.6,308.85,164.55
2024-01-25,301.95,108.66,389.4,314.75,165.4
2024-01-29,299.05,114.09,412.8,324.55,171.75
2024-01-30,296.25,111.66,402.55,315.45,172.0
2024-01-31,308.25,112.54,406.15,317.5,172.6
2024-02-01,297.55,112.87,406.7,322.0,173.7
2024-02-02,294.55,111.88,419.8,332.5,177.9
2024-02-05,281.35,109.26,440.25,336.1,181.6
2024-02-06,285.2,109.94,448.65,334.2,181.55
2024-02-07,280.85,113.94,452.65,330.7,178.95
2024-02-08,281.7,112.74,459.2,330.9,179.7
2024-02-09,259.25,113.9,456.2,324.9,173.1
2024-02-12,229.6,112.37,432.8,316.15,168.8
2024-02-13,245.7,112.42,452.35,321.55,170.35
2024-02-14,248.85,112.78,466.35,328.0,176.25
2024-02-15,259.4,112.37,476.85,339.25,184.25
2024-02-16,251.7,112.75,480.0,337.75,182.6
2024-02-19,266.25,113.53,461.0,338.75,183.85
2024-02-20,267.25,110.73,446.5,345.7,184.0
2024-02-21,260.35,108.15,432.95,336.1,180.3
2024-02-22,261.35,112.45,445.15,339.55,182.25
2024-02-23,264.6,111.81,443.9,337.75,179.9
2024-02-26,266.95,114.09,442.3,337.6,182.1
2024-02-27,266.9,113.34,441.4,336.1,180.5
2024-02-28,259.0,109.92,434.2,333.3,179.35
2024-02-29,244.25,109.99,436.7,335.6,182.25
2024-03-01,246.2,110.83,446.35,343.5,184.15
2024-03-02,250.95,111.16,448.5,341.75,184.2
2024-03-04,242.55,111.98,455.4,353.85,190.85
2024-03-05,241.25,114.77,460.65,358.25,194.1
2024-03-06,237.55,115.34,461.6,351.95,190.45
